run,seed,episode,makespan,total_energy,working_energy,idle_energy
0,3047,0,724.5629954255579,30799.900009799145,22049.69004530274,8750.209964496406
0,3047,1,721.045986826327,30721.994338709832,22051.04341887597,8670.950919833864
0,3047,2,716.3589502520543,30604.42080028703,22046.379407849978,8558.041392437053
0,3047,3,336.1373815958018,28180.865181408386,23969.993427543504,4210.87175386488
0,3047,4,307.0663950508545,28554.627059603004,24633.83967875588,3920.7873808471227
0,3047,5,304.04426042487137,28774.382369759503,24833.653019477948,3940.7293502815555
0,3047,6,302.8665540891646,28685.760536393136,24780.18846482956,3905.572071563578
0,3047,7,295.6305494525256,28514.33876006408,24791.84033355612,3722.498426507962
0,3047,8,287.00962618767994,28377.034097931733,24843.598989575585,3533.435108356147
0,3047,9,286.4662835598099,28192.155678128725,24712.24779169795,3479.907886430774
0,3047,10,282.47554879032,28246.500841784262,24821.775011436308,3424.7258303479557
0,3047,11,276.307198324021,28036.91771722827,24775.826495744557,3261.0912214837103
0,3047,12,273.2145095114355,28094.349009646678,24881.86702640676,3212.481983239918
0,3047,13,280.643949992901,28163.03733400207,24787.72662671008,3375.310707291993
0,3047,14,276.6893445126854,28118.93621363645,24832.71412365569,3286.2220899807608
0,3047,15,270.02612840984705,27969.499905918103,24845.536308274575,3123.963597643526
0,3047,16,282.22293126290634,28258.5835228271,24829.324831871243,3429.258690955855
0,3047,17,279.47336254506655,28170.453699292826,24818.45051235438,3352.003186938447
0,3047,18,276.28362260823536,28120.052202594747,24838.752559268352,3281.299643326394
0,3047,19,287.91553949970574,28346.146666206107,24788.91746850817,3557.2291976979373
0,3047,20,282.0220472500264,28274.964394743878,24858.21629677806,3416.748097965816
0,3047,21,285.2778975133927,28320.299736142802,24822.074648836235,3498.2250873065677
0,3047,22,294.31142601594684,28581.659672614318,24852.6328548893,3729.0268177250177
0,3047,23,284.33379024082717,28307.838691248253,24826.55546924497,3481.283222003284
0,3047,24,283.3499649963772,28310.01552794729,24850.891691771074,3459.1238361762153
0,3047,25,287.0407340643312,28425.185927832546,24872.576703256316,3552.6092245762297
0,3047,26,290.20516795345605,28439.228402584795,24818.381572080372,3620.8468305044235
0,3047,27,282.91739500939985,28311.70145795505,24857.87290561939,3453.828552335658
0,3047,28,285.4279299642742,28329.062304937797,24820.522207128695,3508.540097809101
0,3047,29,289.53197578029653,28390.855466115103,24789.686135474458,3601.169330640646
0,3047,30,288.61083649776117,28385.31161074292,24809.196042751784,3576.115567991136
0,3047,31,296.1478188494174,28627.340182148815,24844.976444628544,3782.363737520269
0,3047,32,281.9329733465911,28262.961016072823,24841.857327040703,3421.10368903212
0,3047,33,293.0273723572274,28516.142761871444,24826.258191313274,3689.884570558168
0,3047,34,281.6204595821801,28375.978283495642,24932.740251988194,3443.238031507448
0,3047,35,297.36161407607693,28735.040290081175,24910.035162347856,3825.0051277333196
0,3047,36,291.6066020380715,28511.19507502326,24847.988814843568,3663.206260179693
0,3047,37,302.0562202425804,28774.166892481866,24845.421536803406,3928.745355678459
0,3047,38,302.23694430018713,28865.573905969744,24917.855721354463,3947.7181846152807
0,3047,39,276.48037572317253,28198.45360903167,24895.94166120313,3302.511947828538
0,3047,40,298.5641076749418,28830.161096269447,24952.71332594443,3877.447770325016
0,3047,41,285.92310957290425,28343.165434130617,24823.466625647867,3519.6988084827503
0,3047,42,289.69743475512524,28375.951910130985,24780.76132248017,3595.1905876508117
0,3047,43,287.3771800022688,28396.5903271615,24840.592752292243,3555.997574869257
0,3047,44,275.00821669220267,27955.125788180478,24739.984639678947,3215.141148501529
0,3047,45,289.8633358576766,28435.958226780218,24821.813891466198,3614.1443353140185
0,3047,46,286.0009220850027,28455.836168411653,24907.69474904254,3548.1414193691126
0,3047,47,293.26402705919315,28590.720986008444,24870.905174351556,3719.8158116568875
0,3047,48,282.69913179750887,28215.753063256205,24791.649004977284,3424.10405827892
0,3047,49,269.7564380311906,27905.46269633722,24796.52812321337,3108.934573123852
0,3047,50,283.07279779859266,28146.391152117973,24732.160705157414,3414.2304469605574
0,3047,51,279.51760219932333,28223.239435788913,24859.40114719564,3363.838288593275
0,3047,52,279.5649696273406,28122.375882185315,24779.785600748764,3342.5902814365504
0,3047,53,277.7089999181311,28161.435804554087,24843.823411780722,3317.612392773365
0,3047,54,275.10916579106276,27951.345381861065,24738.456814434212,3212.888567426853
0,3047,55,279.75869204857037,28216.23323429206,24846.654696401034,3369.5785378910255
0,3047,56,269.1407551418652,28010.28680483442,24894.650632658533,3115.636172175889
0,3047,57,279.2369172680107,28027.114350085933,24714.105476558772,3313.008873527161
0,3047,58,284.8880947381236,28105.88533105712,24667.560498264203,3438.3248327929186
0,3047,59,275.09081759658807,27874.77972041357,24684.47840209517,3190.3013183184003
0,3047,60,276.97890965739987,27983.664283122125,24727.345971439743,3256.318311682384
0,3047,61,277.5100841362805,27976.68675336063,24719.36548936645,3257.3212639941808
0,3047,62,282.6630726262073,27822.974895036936,24513.65716976818,3309.317725268758
0,3047,63,288.2831878450947,27934.956833892054,24503.486796494748,3431.4700373973074
0,3047,64,281.8369055505809,27991.341484241817,24651.9294498695,3339.4120343723152
0,3047,65,279.97051568981016,28056.44710879393,24726.10440111316,3330.3427076807698
0,3047,66,275.57195546692907,28170.51979499142,24893.313328222022,3277.206466769398
0,3047,67,270.07445073163905,27956.917196274,24833.353080992918,3123.5641152810804
0,3047,68,274.00160525746,28089.503965047592,24861.981579028514,3227.5223860190786
0,3047,69,272.99982838371574,27972.098903734906,24788.93926383502,3183.15963989989
0,3047,70,275.6822226611642,28012.250097767275,24770.364841355746,3241.885256411529
0,3047,71,277.998636880986,28157.665961137067,24834.50916091243,3323.1568002246386
0,3047,72,274.8834925850711,28067.28717639599,24826.11020071442,3241.1769756815675
0,3047,73,270.435285953875,27981.70322221124,24846.318636299013,3135.384585912228
0,3047,74,284.42680881371507,28228.403102202683,24767.277635959854,3461.12546624283
0,3047,75,279.90316854771356,28176.46824953246,24812.72214901928,3363.746100513182
0,3047,76,271.78263307761233,28053.698776458754,24877.088280387994,3176.6104960707617
0,3047,77,280.0839744636587,28203.168557991616,24833.52939949519,3369.6391584964254
0,3047,78,287.3657166593089,28276.891888861162,24752.384257200545,3524.5076316606173
0,3047,79,277.6096345801158,28078.885545434812,24780.109542457176,3298.776002977637
0,3047,80,286.8478131157881,28321.960431157364,24790.730635948086,3531.2297952092767
0,3047,81,274.7184261023101,28136.81470360296,24882.206947544928,3254.6077560580316
0,3047,82,279.27668536062913,28264.431174227917,24895.517676260875,3368.9134979670434
0,3047,83,283.67654084223057,28264.89546859229,24811.408678734042,3453.4867898582497
0,3047,84,281.4859850091585,28221.25388630336,24817.53186809155,3403.7220182118067
0,3047,85,278.06757551131386,28170.639017927202,24843.517995146714,3327.1210227804872
0,3047,86,279.2564176033308,28258.30394209577,24886.588080045312,3371.7158620504574
0,3047,87,278.5417268687447,28148.37993993888,24814.85856085929,3333.521379079588
0,3047,88,279.17804097872653,28160.2204234925,24817.644403485014,3342.5760200074883
0,3047,89,278.409028855221,28224.755617532446,24881.248183168216,3343.5074343642295
0,3047,90,284.2804810098036,28283.745754916632,24814.55825771086,3469.1874972057713
0,3047,91,278.8811353493337,28184.01722489649,24841.64417774822,3342.373047148266
0,3047,92,280.0477607031772,28191.7283282387,24826.017062553005,3365.711265685695
0,3047,93,283.9506143966176,28254.245083220267,24796.45848811666,3457.7865951036074
0,3047,94,288.8473688523956,28410.34006842188,24828.127629205395,3582.212439216483
0,3047,95,283.4506822919647,28379.047831754506,24901.11132435011,3477.9365074043963
0,3047,96,289.7627007842067,28469.043358521572,24849.29862805968,3619.744730461889
0,3047,97,288.592389532938,28388.57864004901,24809.41905443758,3579.159585611429
0,3047,98,286.06182226894407,28370.339417283194,24841.154488547778,3529.1849287354153
0,3047,99,286.5091845391438,28231.064756500436,24731.449834118786,3499.614922381649
0,3047,100,278.933063457233,28259.187843380038,24895.624943216688,3363.5629001633483
0,3047,101,274.5519688982557,28176.344395003754,24918.54166853063,3257.802726473123
0,3047,102,278.88804725547845,28271.946453379485,24906.084347748485,3365.8621056310003
0,3047,103,277.72395663588276,28140.981020940366,24830.66334202133,3310.3176789190375
0,3047,104,276.27380404667565,28154.18090570325,24863.29043663417,3290.890469069079
0,3047,105,281.0151744004071,28301.31690715227,24883.494266845242,3417.82264030703
0,3047,106,294.7739678130649,28582.680653215022,24838.062506605205,3744.6181466098187
0,3047,107,278.2823433299831,28187.006983573443,24857.11683876913,3329.890144804315
0,3047,108,291.27219922262077,28450.02538998739,24810.61702362889,3639.4083663585016
0,3047,109,264.216689293796,27784.49948804105,24813.619675171787,2970.8798128692624
0,3047,110,300.5844112924796,28814.843953394866,24907.879992906586,3906.9639604882796
0,3047,111,288.1029818042032,28325.330831420266,24773.06424774737,3552.266583672896
0,3047,112,289.767378744767,28404.60689949492,24794.971751128025,3609.6351483668964
0,3047,113,278.47198907199197,28254.697164625628,24897.689160101014,3357.008004524614
0,3047,114,288.982345144957,28420.731466141173,24825.983857947584,3594.747608193591
0,3047,115,293.78330352383745,28505.71390449357,24802.25512493016,3703.4587795634084
0,3047,116,290.0391274639595,28571.490838658934,24919.622012775755,3651.8688258831794
0,3047,117,296.70380115687914,28578.68209151672,24802.495359873275,3776.1867316434423
0,3047,118,293.2577342411852,28552.790517162128,24848.387616815788,3704.402900346339
0,3047,119,296.0347090860287,28504.972310395966,24757.76753823598,3747.204772159986
0,3047,120,294.3519283235582,28556.345127556026,24826.312183393762,3730.0329441622634
0,3047,121,290.9100370825222,28525.10199107095,24868.33157217197,3656.770418898981
0,3047,122,282.5864231653188,28348.648000844085,24890.212612325166,3458.4353885189175
0,3047,123,278.6206582562716,28132.288175174188,24802.78530294305,3329.5028722311345
0,3047,124,271.3751166353519,27985.360556471758,24825.916750955017,3159.4438055167416
0,3047,125,281.5772082281756,28269.639204075997,24854.47663147665,3415.1625725993454
0,3047,126,291.85359921208726,28553.760056892348,24879.604632124887,3674.155424767462
0,3047,127,283.68692273530036,28400.909126212347,24914.49442072606,3486.4147054862897
0,3047,128,290.89026025700366,28541.336705272704,24881.62458157733,3659.7121236953735
0,3047,129,296.16254561920533,28662.051480721224,24874.68246218513,3787.3690185360956
0,3047,130,294.97902988193215,28648.82806888043,24888.765964981132,3760.062103899299
0,3047,131,295.85111060336,28652.48332232516,24870.945790643233,3781.5375316819254
0,3047,132,289.32888088580734,28525.534936059463,24896.820595291745,3628.714340767719
0,3047,133,295.7055688281022,28608.63363671965,24842.67170424079,3765.9619324788564
0,3047,134,303.29828898089085,28706.385305554024,24773.09357133071,3933.2917342233104
0,3047,135,303.19134025938945,28646.7196418929,24727.014271517124,3919.7053703757765
0,3047,136,302.361965270391,28831.048065691597,24884.462850213255,3946.585215478341
0,3047,137,304.1148387038887,28797.14609996076,24823.52831044526,3973.617789515496
0,3047,138,298.41958960520367,28681.551213626917,24845.294932667603,3836.256280959314
0,3047,139,293.77253407750936,28592.179006036684,24864.370427655438,3727.8085783812453
0,3047,140,298.257939694906,28669.639459780123,24841.713179988095,3827.9262797920264
0,3047,141,296.78214467158546,28721.51987467337,24905.322468669856,3816.197406003513
